#{"t_start": 1739529799.443407, "env_id": "ISOEnv-v0"}
r,l,t
-142474218.28301,48,1.573592
-113323964.788663,48,1.725856
-99474304.274894,48,1.938937
-174751909.716031,48,2.091722
-38488795.535288,48,2.223386
-190109222.438379,48,2.350893
-31644687.563672,48,2.558842
-38607984.04559,48,2.692796
-171481241.494218,48,2.824096
-133256105.446064,48,2.963691
-283353305.955534,48,3.089659
-81768147.887325,48,3.199518
-112131075.696083,48,3.338517
-66080306.57271,48,3.528504
-4787386.517912,48,3.649455
-12697224.732072,48,3.76178
-89159550.70266,48,3.874295
-173108475.611387,48,3.989694
-55774008.882994,48,4.101195
-178298506.506087,48,4.219706
-12240497.416673,48,4.346909
-89947613.038465,48,4.482765
-84029491.310387,48,4.603476
-23250906.369319,48,4.719541
-249388804.838941,48,4.837171
-55442759.752095,48,4.952558
-68501780.566588,48,5.065873
-156238949.206902,48,5.188062
-5660931.282322,48,5.308092
-297423006.38587,48,5.444945
-22282261.899411,48,5.565833
-98183214.375028,48,5.69616
-101437293.134236,48,5.804828
-20157869.121181,48,5.919275
-30497920.261378,48,6.043812
-79064294.462379,48,6.167614
-215296841.373374,48,6.293254
-205805220.893003,48,6.404323
-52658195.221142,48,6.516687
-150209687.236803,48,6.632905
-30736779.748772,48,6.803368
-41562081.517257,48,6.960941
